manufacturer,shortTitle,shortDescription,nettoprice,bruttoprice,images,category
ACI Farfisa,MAS10P,Modul s reproduktorem a mikrofonem.,1350,1634,https://www.stasanet.cz/out/pictures/master/1/4E6F0F88-8D3F-47FB-82C8-B6CE8544DDAD__ad2120mas.jpg,Dveřní stanice Matrix | Analogový systém 4+n | Videotelefony Farfisa - modularita | Domovní telefony
S-Entry,R-MINI P,"Povrchová čtečka RFID karet nebo čipů EM 125KHz, výstupní formát Wiegand 26, čtecí dosah 3-5cm, napájení 9-16VDC, masivní kovový kryt, šedá barva",750,908,https://www.stasanet.cz/out/pictures/master/1/FE30392D-009E-4E91-8FD9-A4B1217374EE__R-MINI_P.jpg,Čtečky | ACS Přístupové systémy
HikVision,DS-2CD2051G1-IDW1/28,"5 Mpx IP kamera; WDR+ICR+IR; Wi-Fi; obj. 2,8mm",1932,2338,https://www.stasanet.cz/out/pictures/master/1/1FEA39A5-D8C0-4561-8EE8-4E1596397A72__DS-2CD20xxG1-IDW1.jpg,Wi-Fi kamery | IP Hikvision | IP kamerové systémy | Kamerové systémy
NUUO,1 Enterprise licence,"Rozšíření NVR Crystal Titan, UPGRADE o 1 Enterprise licenci, podporuje megapixelové kamery, většina výrobců IP kamer je podporována. Nelze kombinovat s Ultimate licencí, nutno provést upgrade.",2999,3629,https://www.stasanet.cz/out/pictures/master/1/1FD4AD87-C056-4458-8618-73434E16322A__licence.jpg,Crystal
HikVision,DS-2CE16D8T-IT3Z-G,"2MPix venkovní kamera TurboHD; ICR + EXIR + motor. ZOOM 2,8-12mm; šedá",2116,2560,https://www.stasanet.cz/out/pictures/master/1/4E394E30-F91B-490C-8BF5-6AEDFF627103__DS-2CE16F7T-AIT3Z-G.jpg,Motor-Zoom kamery | 2 Mpx kamery Low lux | HD TVI Hikvision (Turbo HD) | HD Analogové systémy | Kamerové systémy
HikVision,DS-2CD2783G0-IZS,"8 Mpx IP venkovní DOME kamera; H265+;WDR+ICR+EXIR+Alarm+Audio+motor. obj.2,8-12mm",9154,11076,https://www.stasanet.cz/out/pictures/master/1/826E0392-BA96-4661-B62F-847DE4E01277__DS-2CD27x5FWD-IZS.jpg,8 Mpx (4K) | Kamery 2-Line | IP Hikvision | IP kamerové systémy | Kamerové systémy
JABLOTRON ALARMS a.s.,JA-154J MS,"Umožňuje dálkově ovládat zabezpečovací systém, různá elektrická zařízení či vyvolat tísňový poplach. Potvrzení provedení akce zpětnou optickou a akustickou odezvou. To vše i na více systémech JABLOTRON 100 (například doma a v kanceláři).",1049,1269,https://www.stasanet.cz/out/pictures/master/1/90EB601A-F3E6-4B36-A4BB-2515E652F37B__JA-154J-MS.jpg,Dálková ovládání | Bezdrátové prvky | JABLOTRON 100 | EZS Alarmy Jablotron
CCTV,AngelBox,"AngelBox, plug-and-play zařízení pro připojení kamer do cloudu. Bezpečný, šifrovaný přenos videa. Kompatibilní s většinou zařízení.",2222,2689,https://www.stasanet.cz/out/pictures/master/1/64080AAB-2ACD-4025-BA70-2CC2D0D7804B__angelbox.jpg,Videoslužby Jablotron | JABLOTRON 100 | EZS Alarmy Jablotron
2N TELEKOMUNIKACE,9135251E,Helios přídavný spínač,1894,2292,https://www.stasanet.cz/out/pictures/master/1/DCF8430E-4F77-407A-91A3-78C2BAD51B18__9135251E.jpg,Doplňky | Helios Analog | 2N Interkomy | Domovní telefony
MAZi Security Systems GmbH,HSVR-16HT,"16(+2)-kanálové hybridní DVR pro AHD/TVI/CVI/CVBS/IP kamery, záznam až 6 Mpx, 2×SATA (až 16TB), alarm I/O, audio I/O, RS-485, HDMI 4K",11592,14026,https://www.stasanet.cz/out/pictures/master/1/B07929C8-162D-4886-99B4-846FA2813C62__HSVR-xxHT.jpg,16 kanálové | Záznamová zařízení | HD TVI MAZi (Turbo HD+) | HD Analogové systémy | Kamerové systémy
"Fagor Electrónica, S.Coop.",HTT 101,"Autonomní zařízení sloužící k modulaci HDMI nebo A/V signálu do výstupního DVB-T kanálu v TV pásmu, digitalizace v reálném čase",20950,25350,https://www.stasanet.cz/out/pictures/master/1/8F962671-22D5-48EA-864F-C8EB225C06D2__HTT-101.jpg,TV modulátory | Příslušenství | Kamerové systémy
,MET-200,"Masivní kovový magnet pro velká vrata, drátové vývody, pracovní vzdálenost max 45 mm.",262,317,https://www.stasanet.cz/out/pictures/master/1/D3188E8C-F47E-4253-A5DA-F01BE7E73A9C__met200.jpg,Magnetické kontakty | Vnitřní detekce | EZS Paradox a ostatní
HikVision,DS-K1108E,Bezkontaktní čtečka EM (HIKVISION),897,1085,https://www.stasanet.cz/out/pictures/master/1/EE8099C3-01E8-4312-BF81-675EF55FA354__DS-K1108M.jpg,Čtečky | ACS Přístupové systémy
HikVision,DS-2DF6A836X-AEL,IP PTZ kamera 8MPix; 36x ZOOM; Hi-PoE; ICR+3D-DNR,67551,81737,https://www.stasanet.cz/out/pictures/master/1/80CD8FE9-F5A4-4A35-8FA2-0740BE8B2F69__DS-2DF6A.jpg,Kamery DarkFighter | IP Hikvision | IP kamerové systémy | Kamerové systémy
HikVision,DS-1203ZJ,"Kovová konzole ke kameře, délka 200mm, rozměry základny 71 x 84mm, barva bílá, hmotnost 220g",207,250,https://www.stasanet.cz/out/pictures/master/1/9FF9ACAD-869C-4EF2-9BAD-F6814F81E10E__DS-1203ZJ.jpg,Nástěnné držáky | Příslušenství | IP Hikvision | IP kamerové systémy | Kamerové systémy
HikVision,iVMS5200 (64CH),"Storage server, 64 kanálů",16054,19425,https://www.stasanet.cz/out/pictures/master/1/C16C1893-7CBC-4584-A6E5-516B97995F6B__iVMS5200-.jpg,Software | Příslušenství | HD TVI Hikvision (Turbo HD) | HD Analogové systémy | Kamerové systémy
HikVision,DS-2DE4425IW-DE,"IP PTZ kamera 4MPix; 25x ZOOM; ICR+3D-DNR, WDR, IR do 100m",13478,16308,https://www.stasanet.cz/out/pictures/master/1/41EF7196-9130-4A4F-8FA5-9DCB78DED583__DS-2DE4xxxI.jpg,4 Mpx | PTZ kamery | IP Hikvision | IP kamerové systémy | Kamerové systémy
JOB-Detecomat,HFM EG,"Náhradní sklo pro tlačítka. Rozměr 80 x 80 mm, vhodné ke všem typům tlačítek.",17,21,https://www.stasanet.cz/out/pictures/master/1/BD03395F-4475-4E64-B29C-799305A4F8EB__hfm_eg_1.jpg,Doplňky k detektorům | Adresovatelné systémy | EPS Požární ochrana
JABLOTRON ALARMS a.s.,JA-106K-3G,"Plná verze ústředny zabezpečovacího systému JABLOTRON 100. Umožňuje flexibilní nastavování a je určena zajištění snadné ochrany především velkých obytných komplexů, administrativních budov a firem, které potřebují systém o mnoha sekcích.",9890,11967,https://www.stasanet.cz/out/pictures/master/1/F86B15D8-F7D8-4663-A361-93664AA5106A__JA-106K-3G.jpg,Ústředny a komunikátory | JABLOTRON 100 | EZS Alarmy Jablotron
ACI Farfisa,MAS12P,"Modul s reproduktorem, mikrofonem a dvěma tlačítky.",1680,2033,https://www.stasanet.cz/out/pictures/master/1/2AF7C0D7-C01A-4D7D-9DB2-E076618D59C7__MAS12P_2.jpg,Dveřní stanice Matrix | Analogový systém 4+n | Videotelefony Farfisa - modularita | Domovní telefony
HikVision,DS-1603ZJ,Konzole na stěnu pro PanoVu kamery,782,946,https://www.stasanet.cz/out/pictures/master/1/1373349F-9A3B-4968-959F-2F1EB010DAE1__DS-1603ZJ.jpg,Příslušenství pro PTZ | Příslušenství | IP Hikvision | IP kamerové systémy | Kamerové systémy
HikVision,DS-2DE4A404IW-DE,IP PTZ kamera 4MPix; 4x ZOOM; Alarm; Darkfighter; ICR+3D-DNR+IR 50m; f2.8-12mm,15226,18423,https://www.stasanet.cz/out/pictures/master/1/E76436FC-F8E1-4D95-9759-5238060015E8__DS-2DE4A204IW-DE.jpg,4 Mpx | PTZ kamery | IP Hikvision | IP kamerové systémy | Kamerové systémy
JOB-Detecomat,FRS,"doplněk ke svorkovnici SDB pro vlhké prostory, včetně průchodek, svorkovnice není součástí dodávky",303,367,https://www.stasanet.cz/out/pictures/master/1/FC0C3D9B-6C65-49E7-B27A-886DA524FDA4__frs_1.jpg,Doplňky k detektorům | Adresovatelné systémy | EPS Požární ochrana
,4FF 127 12.5,Rám KARAT pro 2 moduly,310,375,https://www.stasanet.cz/out/pictures/master/1/4F13B7ED-2B3D-4192-BA03-6E913F2A9EE3__4FF-127-12.5.jpg,Rámy tlačítkových tabel KARAT | Dveřní stanice KARAT-INOX | Digitální systém videotelefonů | Tesla Stropkov | Domovní telefony
Dahua,PFB300S,"Kovový držák pro boční montáž (na stěnu) PTZ kamer Dahua, provedení husí krk, kov, bílý, venkovní -40 až 60°C, š 115 x v 160 x h 228 mm",467,565,https://www.stasanet.cz/out/pictures/master/1/E555E9D8-FA76-4C88-A587-5CA9D5D6C371__PFB300S.jpg,Příslušenství | IP technologie Dahua | IP kamerové systémy | Kamerové systémy
Commax,DRC-14AC2,"Barevná dveřní kamerová jednotka, 10 tlačítek, popisné štítky, noční přísvit, zápustná montáž,hliníková slitina, kabeláž 58+2 vodičů, napájení 12VDC",6290,7611,https://www.stasanet.cz/out/pictures/master/1/090A1077-ECE8-4E83-B3D6-7A898D1D0AD6__DRC-14AC2.jpg,Dveřní stanice | Videotelefony COMMAX - design | Domovní telefony
ACI Farfisa,PL92,Povrchová montážní krabička se stříškou pro dva moduly nad sebou. Vyrobeno z hliníku.,1650,1997,https://www.stasanet.cz/out/pictures/master/1/365B99CC-E769-42A8-85B1-61EDDF1EE7B9__pl92.jpg,Profilo | Příslušenství k dveř. stanicícm | Videotelefony Farfisa - modularita | Domovní telefony
2N TELEKOMUNIKACE,91378100,PoE injektor PSA16U-480(POE) - jednoportový 15.4W AC/DC bez napájecího kabelu,1300,1573,https://www.stasanet.cz/out/pictures/master/1/C7E73004-E7CF-4F08-BCCF-930CEEB84811__91378100.jpg,Doplňky | Helios IP FORCE | 2N Interkomy | Domovní telefony
VAR-TEC,FP REPAIRE,"Modul pro opravu přestřiženého kabelu. V případě, že dojde k sabotáži a detekční kabel je přerušen, používá se k jeho opravě tento modul.",1099,1330,https://www.stasanet.cz/out/pictures/master/1/3CBDCA74-F427-4C48-9076-5DBDDE53D6B2__FP-REPAIRE.jpg,Plotový systém | Venkovní detekce | EZS Paradox a ostatní
LAN-TEC,DC-412 C5E FTP,"Datový měděný kabel FTP Cat 5e-stíněný s nehořlavým pláštěm, značení délky, balení 305m - karton s plastovým vývodem",2749,3326,https://www.stasanet.cz/out/pictures/master/1/F9A6F091-7D6D-4CC1-8A19-F27088D2CE34__DC-412-C5E-FTP.jpg,Datové kabely | Metalická kabeláž | SKS Strukturovaná kabeláž
Estelar,RD3B,Čtečka karet EMmarin - připojení USB,1850,2239,https://www.stasanet.cz/out/pictures/master/1/04C03F1A-321B-4544-B4B6-5876585EE518__RD3-B.jpg,Doplňkové moduly | ACS Docházkové systémy
HikVision,DS-2CD2T45FWD-I5/28,"4 Mpx IP venkovní kamera; WDR+ICR+EXIR+obj.2,8mm",4669,5649,https://www.stasanet.cz/out/pictures/master/1/343634DD-8AD1-488A-AD06-35B2840CEA69__DS-2CD2T.jpg,Kamery DarkFighter | IP Hikvision | IP kamerové systémy | Kamerové systémy
ACI Farfisa,MAS63,"Litinový montážní rámeček, používá se v kombinaci s montážní krabičkou MA73",730,883,https://www.stasanet.cz/out/pictures/master/1/CFE46AC5-687D-4127-A181-B5679AAC7162__mas63.jpg,Matrix | Příslušenství k dveř. stanicícm | Videotelefony Farfisa - modularita | Domovní telefony
2N TELEKOMUNIKACE,9155035,"Rozšiřující modul pro interkomy 2N Helios IP Verso s 5 mechanickými tlačítky pro rychlou volbu uživatelů, podsvětlení tlačítek, možnost umístění jmenovek",2377,2876,https://www.stasanet.cz/out/pictures/master/1/9621289A-8460-461D-A17E-D356840E5438__2n-helios-ip-verso-modul-5-tlacitek.jpg,Rozšiřující moduly | Helios IP Verso | 2N Interkomy | Domovní telefony
,BES-2702,Programátor/převodník USB-RS485 BES RFID,3350,4054,https://www.stasanet.cz/out/pictures/master/1/BBB72D3C-C9FA-4BA7-95A0-9FAB0AB7F39D__BES-2702.jpg,Přístupové systémy DEK (DALLAS klíče) a (RFID) | Digitální  audiosystém (2-BUS) | Tesla Stropkov | Domovní telefony
Paradox,BR880-Bracket,"Plastový kloubový stojan pro detektory HD88, montáž na zeď i strop, bílá barva, skryté vedení kabelu uvnitřř držáku",418,506,https://www.stasanet.cz/out/pictures/master/1/F66AC1CE-9592-42AB-ACEA-65608276FDEB__BR880-Bracket.jpg,Doplňky | Vnitřní detekce | EZS Paradox a ostatní
HikVision,DS-2CD2H85FWD-IZS,"8MPix IP venkovní DOME kamera; ICR + EXIR 30m; motorzoom 2,8-12mm; Audio, Alarm",9706,11744,https://www.stasanet.cz/out/pictures/master/1/0000FDAC-E1B8-4227-A4E5-BC407FD7C9BE__DS-2CD2Hx5FWD-IZS.jpg,8 Mpx (4K) | Kamery 2-Line | IP Hikvision | IP kamerové systémy | Kamerové systémy
